table,ordinal,column,type,max_length,precision,scale,is_nullable,is_identity
122020,1,month_year,nchar,20,0,0,False,False
122020,2,tax_type,nvarchar,2,0,0,False,False
122020,3,seq_rpt_id,bigint,8,19,0,False,False
122020,4,tax_date,datetime,8,23,3,False,False
122020,5,tax_number,nvarchar,100,0,0,False,False
122020,6,tax_name,nvarchar,100,0,0,False,False
122020,7,tax_id,nvarchar,100,0,0,False,False
122020,8,tax_corp_center,nvarchar,100,0,0,False,False
122020,9,tax_corp_branch,nchar,20,0,0,True,False
122020,10,tax_net_amount,money,8,19,4,False,False
122020,11,tax_vat_amount,money,8,19,4,False,False
122020,12,tax_total_amount,money,8,19,4,False,False
122020,13,doc_app_no,nvarchar,100,0,0,True,False
122020,14,doc_cont_no,nvarchar,100,0,0,True,False
20241218_MIS_FD_CustCard,1,CONTRACT_NUMBER,int,4,10,0,True,False
20241218_MIS_FD_CustCard,2,INSTALL_NUM,int,4,10,0,True,False
20241218_MIS_FD_CustCard,3,DUEDATE,varchar,50,0,0,True,False
20241218_MIS_FD_CustCard,4,INSTALL_AMT,float,8,53,0,True,False
20241218_MIS_FD_CustCard,5,PAY_PRINCIPLE,float,8,53,0,True,False
20241218_MIS_FD_CustCard,6,PAY_INTEREST,float,8,53,0,True,False
20241218_MIS_FD_CustCard,7,PAY_INSTALL_VAT,float,8,53,0,True,False
20241218_MIS_FD_CustCard,8,OUTSTD_SUM_PRINCIPLE,float,8,53,0,True,False
20241218_MIS_FD_CustCard,9,OUTSTD_SUM_INTEREST,float,8,53,0,True,False
20241218_MIS_FD_CustCard,10,DISCOUNT_AMT,float,8,53,0,True,False
20250211_MIS_CustCard,1,CONTRACT_ID,int,4,10,0,True,False
20250211_MIS_CustCard,2,CONTRACT_NUMBER,int,4,10,0,True,False
20250211_MIS_CustCard,3,APPLICATION_NUMBER,nvarchar,40,0,0,True,False
20250211_MIS_CustCard,4,INSTALL_NUM,int,4,10,0,True,False
20250211_MIS_CustCard,5,DUEDATE,varchar,50,0,0,True,False
20250211_MIS_CustCard,6,INSTALL_AMT,float,8,53,0,True,False
20250211_MIS_CustCard,7,PAY_PRINCIPLE,float,8,53,0,True,False
20250211_MIS_CustCard,8,PAY_INTEREST,float,8,53,0,True,False
20250211_MIS_CustCard,9,PAY_INSTALL_VAT,float,8,53,0,True,False
20250211_MIS_CustCard,10,OUTSTD_SUM_PRINCIPLE,float,8,53,0,True,False
20250211_MIS_CustCard,11,OUTSTD_SUM_INTEREST,float,8,53,0,True,False
20250211_MIS_CustCard,12,DISCOUNT_AMT,float,8,53,0,True,False
ACCOUNT,1,ACCOUNT_ID,int,4,10,0,False,True
ACCOUNT,2,CONTRACT_ID,int,4,10,0,True,False
ACCOUNT,3,CONTRACT_NUMBER,nvarchar,40,0,0,True,False
ACCOUNT,4,APP_ID,int,4,10,0,True,False
ACCOUNT,5,APP_NUMBER,nvarchar,40,0,0,True,False
ACCOUNT,6,REPAY_ID,int,4,10,0,True,False
ACCOUNT,7,PAY_ID,int,4,10,0,True,False
ACCOUNT,8,VOURCHER_NO,nvarchar,40,0,0,True,False
ACCOUNT,9,DATE,date,3,10,0,True,False
ACCOUNT,10,DATE_POST,date,3,10,0,True,False
ACCOUNT,11,APAR_CODE,nvarchar,40,0,0,True,False
ACCOUNT,12,ACCOUNT_CODE,nvarchar,40,0,0,True,False
ACCOUNT,13,ACCOUNT_CATEGORY,nvarchar,10,0,0,True,False
ACCOUNT,14,ACCOUNT_DESCIPTION,nvarchar,400,0,0,True,False
ACCOUNT,15,RECORD_TYPE,nvarchar,20,0,0,True,False
ACCOUNT,16,AMOUNT,float,8,53,0,True,False
ACCOUNT_200917_1045,1,ACCOUNT_ID,int,4,10,0,False,True
ACCOUNT_200917_1045,2,CONTRACT_ID,int,4,10,0,True,False
ACCOUNT_200917_1045,3,CONTRACT_NUMBER,nvarchar,40,0,0,True,False
ACCOUNT_200917_1045,4,APP_ID,int,4,10,0,True,False
ACCOUNT_200917_1045,5,APP_NUMBER,nvarchar,40,0,0,True,False
ACCOUNT_200917_1045,6,REPAY_ID,int,4,10,0,True,False
ACCOUNT_200917_1045,7,PAY_ID,int,4,10,0,True,False
ACCOUNT_200917_1045,8,VOURCHER_NO,nvarchar,40,0,0,True,False
ACCOUNT_200917_1045,9,DATE,date,3,10,0,True,False
ACCOUNT_200917_1045,10,DATE_POST,date,3,10,0,True,False
ACCOUNT_200917_1045,11,APAR_CODE,nvarchar,40,0,0,True,False
ACCOUNT_200917_1045,12,ACCOUNT_CODE,nvarchar,40,0,0,True,False
ACCOUNT_200917_1045,13,ACCOUNT_CATEGORY,nvarchar,10,0,0,True,False
ACCOUNT_200917_1045,14,ACCOUNT_DESCIPTION,nvarchar,400,0,0,True,False
ACCOUNT_200917_1045,15,RECORD_TYPE,nvarchar,20,0,0,True,False
ACCOUNT_200917_1045,16,AMOUNT,float,8,53,0,True,False
ACCOUNT_CHECK_GL,1,SEQ_ID,int,4,10,0,False,True
ACCOUNT_CHECK_GL,2,ACCOUNT_ID,int,4,10,0,True,False
ACCOUNT_CHECK_GL,3,CONTRACT_ID,int,4,10,0,True,False
ACCOUNT_CHECK_GL,4,CONTRACT_NUMBER,nvarchar,40,0,0,True,False
ACCOUNT_CHECK_GL,5,APP_ID,int,4,10,0,True,False
ACCOUNT_CHECK_GL,6,APP_NUMBER,nvarchar,40,0,0,True,False
ACCOUNT_CHECK_GL,7,REPAY_ID,int,4,10,0,True,False
ACCOUNT_CHECK_GL,8,PAY_ID,int,4,10,0,True,False
ACCOUNT_CHECK_GL,9,VOURCHER_NO,nvarchar,40,0,0,True,False
ACCOUNT_CHECK_GL,10,DATE,date,3,10,0,True,False
ACCOUNT_CHECK_GL,11,DATE_POST,date,3,10,0,True,False
ACCOUNT_CHECK_GL,12,APAR_CODE,nvarchar,40,0,0,True,False
ACCOUNT_CHECK_GL,13,ACCOUNT_CODE,nvarchar,40,0,0,True,False
ACCOUNT_CHECK_GL,14,ACCOUNT_CATEGORY,nvarchar,10,0,0,True,False
ACCOUNT_CHECK_GL,15,ACCOUNT_DESCIPTION,nvarchar,400,0,0,True,False
ACCOUNT_CHECK_GL,16,RECORD_TYPE,nvarchar,20,0,0,True,False
ACCOUNT_CHECK_GL,17,AMOUNT,float,8,53,0,True,False
ACCOUNT_CHECK_GL,18,LOG_DATETIME,datetime,8,23,3,True,False
ACCOUNT_CHECK_GL,19,LOG_CREATE_BY,nvarchar,200,0,0,True,False
ACCOUNT_GENERAL,1,GENERAL_ID,int,4,10,0,False,True
ACCOUNT_GENERAL,2,G_VOURCHER_NO,nvarchar,40,0,0,True,False
ACCOUNT_GENERAL,3,G_DATE,date,3,10,0,True,False
ACCOUNT_GENERAL,4,G_DATE_POST,date,3,10,0,True,False
ACCOUNT_GENERAL,5,G_APAR_CODE,nvarchar,40,0,0,True,False
ACCOUNT_GENERAL,6,G_ACCOUNT_CODE,nvarchar,40,0,0,True,False
ACCOUNT_GENERAL,7,G_ACCOUNT_CATEGORY,nvarchar,10,0,0,True,False
ACCOUNT_GENERAL,8,G_ACCOUNT_DESCIPTION,nvarchar,400,0,0,True,False
ACCOUNT_GENERAL,9,G_RECORD_TYPE,nvarchar,20,0,0,True,False
ACCOUNT_GENERAL,10,G_AMOUNT,float,8,53,0,True,False
ACCOUNT_LOG,1,ID,int,4,10,0,False,True
ACCOUNT_LOG,2,ACCOUNT_ID,int,4,10,0,True,False
ACCOUNT_LOG,3,CONTRACT_ID,int,4,10,0,True,False
ACCOUNT_LOG,4,APP_ID,int,4,10,0,True,False
ACCOUNT_LOG,5,REPAY_ID,int,4,10,0,True,False
ACCOUNT_LOG,6,ACCOUNT_CODE,nvarchar,40,0,0,True,False
ACCOUNT_LOG,7,JSON_string,nvarchar,-1,0,0,True,False
ACCOUNT_LOG,8,INPUT BY METHOD,nvarchar,20,0,0,True,False
ACCOUNT_LOG,9,CREATE_AT,datetime,8,23,3,True,False
ACCOUNT_LOG,10,MODIFY_AT,datetime,8,23,3,True,False
ACCOUNT_LOG,11,MODIFY_BY,nvarchar,100,0,0,True,False
ACCOUNT_LOG_BK20230809,1,ID,int,4,10,0,False,True
ACCOUNT_LOG_BK20230809,2,ACCOUNT_ID,int,4,10,0,True,False
ACCOUNT_LOG_BK20230809,3,CONTRACT_ID,int,4,10,0,True,False
ACCOUNT_LOG_BK20230809,4,APP_ID,int,4,10,0,True,False
ACCOUNT_LOG_BK20230809,5,REPAY_ID,int,4,10,0,True,False
ACCOUNT_LOG_BK20230809,6,ACCOUNT_CODE,int,4,10,0,True,False
ACCOUNT_LOG_BK20230809,7,JSON_string,nvarchar,-1,0,0,True,False
ACCOUNT_LOG_BK20230809,8,INPUT BY METHOD,nvarchar,20,0,0,True,False
ACCOUNT_LOG_BK20230809,9,CREATE_AT,datetime,8,23,3,True,False
ACCOUNT_LOG_BK20230809,10,MODIFY_AT,datetime,8,23,3,True,False
ACCOUNT_LOG_BK20230809,11,MODIFY_BY,nvarchar,100,0,0,True,False
ACCOUNT_PAYABLE,1,PAYABLE_ID,int,4,10,0,False,True
ACCOUNT_PAYABLE,2,PAY_ID,int,4,10,0,True,False
ACCOUNT_PAYABLE,3,P_VOURCHER_NO,nvarchar,40,0,0,True,False
ACCOUNT_PAYABLE,4,P_DATE,date,3,10,0,True,False
ACCOUNT_PAYABLE,5,P_DATE_POST,date,3,10,0,True,False
ACCOUNT_PAYABLE,6,P_APAR_CODE,nvarchar,40,0,0,True,False
ACCOUNT_PAYABLE,7,P_ACCOUNT_CODE,nvarchar,40,0,0,True,False
ACCOUNT_PAYABLE,8,P_ACCOUNT_CATEGORY,nvarchar,10,0,0,True,False
ACCOUNT_PAYABLE,9,P_ACCOUNT_DESCIPTION,nvarchar,400,0,0,True,False
ACCOUNT_PAYABLE,10,P_RECORD_TYPE,nvarchar,20,0,0,True,False
ACCOUNT_PAYABLE,11,P_AMOUNT,float,8,53,0,True,False
ACCOUNT_RECEIVABLE,1,RECEIVABLE_ID,int,4,10,0,False,True
ACCOUNT_RECEIVABLE,2,REPAY_ID,int,4,10,0,True,False
ACCOUNT_RECEIVABLE,3,R_VOURCHER_NO,nvarchar,40,0,0,True,False
ACCOUNT_RECEIVABLE,4,R_DATE,date,3,10,0,True,False
ACCOUNT_RECEIVABLE,5,R_DATE_POST,date,3,10,0,True,False
ACCOUNT_RECEIVABLE,6,R_APAR_CODE,nvarchar,40,0,0,True,False
ACCOUNT_RECEIVABLE,7,R_ACCOUNT_CODE,nvarchar,40,0,0,True,False
ACCOUNT_RECEIVABLE,8,R_ACCOUNT_CATEGORY,nvarchar,10,0,0,True,False
ACCOUNT_RECEIVABLE,9,R_ACCOUNT_DESCIPTION,nvarchar,400,0,0,True,False
ACCOUNT_RECEIVABLE,10,R_RECORD_TYPE,nvarchar,20,0,0,True,False
ACCOUNT_RECEIVABLE,11,R_AMOUNT,float,8,53,0,True,False
ADDRESS,1,ADDRESS_ID,int,4,10,0,False,True
ADDRESS,2,PERSON_ID,int,4,10,0,True,False
ADDRESS,3,CIF_PERSON_ID,int,4,10,0,True,False
ADDRESS,4,JURISTIC_ID,int,4,10,0,True,False
ADDRESS,5,QUOTATION_ID,int,4,10,0,True,False
ADDRESS,6,A1_MASTER,int,4,10,0,True,False
ADDRESS,7,A1_COPY,int,4,10,0,True,False
ADDRESS,8,A1_NO,nvarchar,40,0,0,True,False
ADDRESS,9,A1_MOI,nvarchar,40,0,0,True,False
ADDRESS,10,A1_VILLAGE,nvarchar,200,0,0,True,False
ADDRESS,11,A1_BUILDING,nvarchar,100,0,0,True,False
ADDRESS,12,A1_FLOOR,nvarchar,10,0,0,True,False
ADDRESS,13,A1_ROOM_NO,nvarchar,30,0,0,True,False
ADDRESS,14,A1_SOI,nvarchar,100,0,0,True,False
ADDRESS,15,A1_ROAD,nvarchar,100,0,0,True,False
ADDRESS,16,A1_PROVINCE,nvarchar,6,0,0,True,False
ADDRESS,17,A1_DISTRICT,int,4,10,0,True,False
ADDRESS,18,A1_SUBDISTRICT,int,4,10,0,True,False
ADDRESS,19,A1_POSTALCODE,int,4,10,0,True,False
ADDRESS,20,A1_OWNER_TYPE,int,4,10,0,True,False
ADDRESS,21,A1_LIVEING_TIME,nvarchar,20,0,0,True,False
ADDRESS,22,A1_PHONE,nvarchar,30,0,0,True,False
ADDRESS,23,A1_LATITUDE,nvarchar,400,0,0,True,False
ADDRESS,24,A1_LONGITUDE,nvarchar,400,0,0,True,False
ADDRESS,25,A2_MASTER,int,4,10,0,True,False
ADDRESS,26,A2_COPY,int,4,10,0,True,False
ADDRESS,27,A2_NO,nvarchar,40,0,0,True,False
ADDRESS,28,A2_MOI,nvarchar,40,0,0,True,False
ADDRESS,29,A2_VILLAGE,nvarchar,200,0,0,True,False
ADDRESS,30,A2_BUILDING,nvarchar,100,0,0,True,False
ADDRESS,31,A2_FLOOR,nvarchar,10,0,0,True,False
ADDRESS,32,A2_ROOM_NO,nvarchar,30,0,0,True,False
ADDRESS,33,A2_SOI,nvarchar,100,0,0,True,False
ADDRESS,34,A2_ROAD,nvarchar,100,0,0,True,False
ADDRESS,35,A2_PROVINCE,nvarchar,6,0,0,True,False
ADDRESS,36,A2_DISTRICT,int,4,10,0,True,False
ADDRESS,37,A2_SUBDISTRICT,int,4,10,0,True,False
ADDRESS,38,A2_POSTALCODE,int,4,10,0,True,False
ADDRESS,39,A2_OWNER_TYPE,int,4,10,0,True,False
ADDRESS,40,A2_LIVEING_TIME,nvarchar,20,0,0,True,False
ADDRESS,41,A2_PHONE,nvarchar,30,0,0,True,False
ADDRESS,42,A2_LATITUDE,nvarchar,400,0,0,True,False
ADDRESS,43,A2_LONGITUDE,nvarchar,400,0,0,True,False
ADDRESS,44,A3_MASTER,int,4,10,0,True,False
ADDRESS,45,A3_COPY,int,4,10,0,True,False
ADDRESS,46,A3_NO,nvarchar,40,0,0,True,False
ADDRESS,47,A3_MOI,nvarchar,40,0,0,True,False
ADDRESS,48,A3_VILLAGE,nvarchar,200,0,0,True,False
ADDRESS,49,A3_BUILDING,nvarchar,100,0,0,True,False
ADDRESS,50,A3_FLOOR,nvarchar,10,0,0,True,False
ADDRESS,51,A3_ROOM_NO,nvarchar,30,0,0,True,False
ADDRESS,52,A3_SOI,nvarchar,100,0,0,True,False
ADDRESS,53,A3_ROAD,nvarchar,100,0,0,True,False
ADDRESS,54,A3_PROVINCE,nvarchar,6,0,0,True,False
ADDRESS,55,A3_DISTRICT,int,4,10,0,True,False
ADDRESS,56,A3_SUBDISTRICT,int,4,10,0,True,False
ADDRESS,57,A3_POSTALCODE,int,4,10,0,True,False
ADDRESS,58,A3_OWNER_TYPE,int,4,10,0,True,False
ADDRESS,59,A3_LIVEING_TIME,nvarchar,20,0,0,True,False
ADDRESS,60,A3_PHONE,nvarchar,30,0,0,True,False
ADDRESS,61,A3_LATITUDE,nvarchar,400,0,0,True,False
ADDRESS,62,A3_LONGITUDE,nvarchar,400,0,0,True,False
ADDRESS,63,A4_MASTER,int,4,10,0,True,False
ADDRESS,64,A4_COPY,int,4,10,0,True,False
ADDRESS,65,A4_NO,nvarchar,40,0,0,True,False
ADDRESS,66,A4_MOI,nvarchar,40,0,0,True,False
ADDRESS,67,A4_VILLAGE,nvarchar,200,0,0,True,False
ADDRESS,68,A4_BUILDING,nvarchar,100,0,0,True,False
ADDRESS,69,A4_FLOOR,nvarchar,10,0,0,True,False
ADDRESS,70,A4_ROOM_NO,nvarchar,30,0,0,True,False
ADDRESS,71,A4_SOI,nvarchar,100,0,0,True,False
