fk_name,from_table,from_column,to_table,to_column
FK__CpuUsageL__serve__04908221,CpuUsageLogs,serverId,serverRegisteration,id
FK__LineUsers__k2_us__0E19EC5B,LineUsers,k2_userId,K2_user,id
FK__LOGGED_EM__heade__7E4D98E6,LOGGED_EMAIL_LISTS,header_id,LOGGED_EMAIL_HEADER,id
FK__MEMBER_AD__PROVI__54624C12,MEMBER_ADDRESS,PROVINCE_ID,MT_PROVINCE,PROVINCE_ID
FK__MEMBER_AD__SUB_D__5556704B,MEMBER_ADDRESS,SUB_DISTRICT,MT_SUB_DISTRICT,SUB_DISTRICT_ID
FK__MEMBER_AD__DISTR__527A03A0,MEMBER_ADDRESS,DISTRICT_ID,MT_DISTRICT,DISTRICT_ID
FK__MEMBER_OC__OFFIC__5927012F,MEMBER_OCCUPATION,OFFICE_ADDRESS_DISTRICT,MT_DISTRICT,DISTRICT_ID
FK__MEMBER_OC__OFFIC__5A1B2568,MEMBER_OCCUPATION,OFFICE_ADDRESS_SUB_DISTRICT,MT_SUB_DISTRICT,SUB_DISTRICT_ID
FK__MEMBER_OC__OFFIC__5832DCF6,MEMBER_OCCUPATION,OFFICE_ADDRESS_PROVINCE,MT_PROVINCE,PROVINCE_ID
FK__MEMBER_UN__UNIVE__5EDFDA85,MEMBER_UNIVERSITY,UNIVERSITY_PROVINCE,MT_PROVINCE,PROVINCE_ID
FK__MEMBER_UN__UNIVE__5DEBB64C,MEMBER_UNIVERSITY,UNIVERSITY_DISTRICT,MT_DISTRICT,DISTRICT_ID
FK__MEMBER_UN__FACUL__5C036DDA,MEMBER_UNIVERSITY,FACULTY_NAME,MT_FACULTY,MT_FACULTY_ID
FK__MT_ACCOUN__ACCOU__5FD3FEBE,MT_ACCOUNT_CODE,ACCOUNT_CATEGORY,MT_ACCOUNT_CATEGORY,id
FK__MT_Icare___Proje__6304A5CD,MT_Icare_InsurancePercent,Project_id,MT_TFF_PROJECT,ID
FK__Privilege__lvlDo__61BC4730,Privileges,lvlDownPercent_id,lvlDownPercents,id
FK__Privilege__Quota__5E74FADA,Privileges,Quotation_id,QUOTATION,QUOTATION_ID
