schema,view,ordinal,column,type,max_length,precision,scale,is_nullable
ci,clean_branch,1,OpenedDate,datetime2,8,27,7,True
ci,clean_branch,2,ClosedDate,datetime2,8,27,7,True
ci,clean_branch,3,Branch_ID,int,4,10,0,False
ci,clean_branch,4,BranchType,varchar,50,0,0,True
ci,clean_branch,5,BranchName,varchar,300,0,0,True
ci,clean_branch,6,CleanBranchName,nvarchar,8000,0,0,True
ci,clean_branch,7,Address,varchar,400,0,0,True
ci,clean_branch,8,Province_EN,varchar,50,0,0,True
ci,clean_branch,9,SALE_CHANNEL,varchar,8,0,0,False
ci,clean_branch,10,SHOP_BRAND,varchar,50,0,0,True
ci,clean_branch,11,SHOP_TYPE,varchar,18,0,0,False
ci,clean_branch,12,SHOP_TYPE_BRAND,varchar,18,0,0,False
ci,clean_branch,13,CLEAN_PROVINCE,varchar,24,0,0,False
ci,clean_branch,14,BRANCH_STATUS,varchar,8,0,0,False
ci,clean_branch,15,Region_EN,varchar,9,0,0,True
ci,clean_branch,16,Province_TH,nvarchar,30,0,0,True
ci,clean_branch,17,Region_TH,nvarchar,42,0,0,True
ci,clean_brand_itec,1,Brand,varchar,50,0,0,False
ci,clean_brand_itec,2,CLEAN_BRAND,varchar,8000,0,0,False
ci,clean_category_ITEC,1,ITEC_CategoryName_RAW,nvarchar,64,0,0,False
ci,clean_category_ITEC,2,ITEC_SubCategoryName_RAW,nvarchar,92,0,0,False
ci,clean_category_ITEC,3,CLEAN_CATEGORY,nvarchar,64,0,0,False
ci,clean_category_ITEC,4,CLEAN_SUB_CATEGORY,nvarchar,102,0,0,False
ci,clean_item_category_itec,1,ItemId,varchar,40,0,0,True
ci,clean_item_category_itec,2,ItemName,varchar,200,0,0,True
ci,clean_item_category_itec,3,CategoryName,varchar,50,0,0,True
ci,clean_item_category_itec,4,SubCategoryName,varchar,100,0,0,True
ci,clean_item_category_itec,5,Model/Series,varchar,100,0,0,True
ci,clean_item_category_itec,6,Brand,varchar,50,0,0,True
ci,clean_item_category_itec,7,IS_Promotion,int,4,10,0,False
ci,clean_item_category_itec,8,IS_Demo_Product,int,4,10,0,False
ci,clean_item_category_itec,9,IS_Gaming,int,4,10,0,False
ci,clean_item_category_itec,10,IS_Smartphone,int,4,10,0,False
ci,clean_item_category_itec,11,IS_Mobile,int,4,10,0,False
ci,clean_item_category_itec,12,IS_iPhone,int,4,10,0,False
ci,clean_item_category_itec,13,IS_Galaxy,int,4,10,0,False
ci,clean_item_category_itec,14,IS_iPad,int,4,10,0,False
ci,clean_item_category_itec,15,IS_Tablet,int,4,10,0,False
ci,clean_item_category_itec,16,IS_Watch,int,4,10,0,False
ci,clean_item_category_itec,17,IS_Applewatch,int,4,10,0,False
ci,clean_item_category_itec,18,IS_AirPod,int,4,10,0,False
ci,clean_item_category_itec,19,IS_HeadSet,int,4,10,0,False
ci,clean_item_category_itec,20,IS_HeadPhone,int,4,10,0,False
ci,clean_item_category_itec,21,IS_EarPhone,int,4,10,0,False
ci,clean_item_category_itec,22,IS_Earcap,int,4,10,0,False
ci,clean_item_category_itec,23,IS_Mouse,int,4,10,0,False
ci,clean_item_category_itec,24,IS_Keyboard,int,4,10,0,False
ci,clean_item_category_itec,25,IS_Software,int,4,10,0,False
ci,clean_item_category_itec,26,IS_AppleCare,int,4,10,0,False
ci,clean_item_category_itec,27,IS_Insurance,int,4,10,0,False
ci,clean_item_category_itec,28,IS_Care,int,4,10,0,False
ci,clean_item_category_itec,29,IS_Playstation,int,4,10,0,False
ci,clean_item_category_itec,30,IS_NintendoSwitch,int,4,10,0,False
ci,clean_item_category_itec,31,IS_Nintendo_SwitchG,int,4,10,0,False
ci,clean_item_category_itec,32,IS_PC,int,4,10,0,False
ci,clean_item_category_itec,33,IS_iMac,int,4,10,0,False
ci,clean_item_category_itec,34,IS_Desktop,int,4,10,0,False
ci,clean_item_category_itec,35,IS_Computer,int,4,10,0,False
ci,clean_item_category_itec,36,IS_Notebook,int,4,10,0,False
ci,clean_item_category_itec,37,IS_Macbook,int,4,10,0,False
ci,clean_item_category_itec,38,IS_GraphicCard,int,4,10,0,False
ci,clean_item_category_itec,39,IS_PowerSupply,int,4,10,0,False
ci,clean_item_category_itec,40,IS_Mainboard,int,4,10,0,False
ci,clean_item_category_itec,41,IS_RAM,int,4,10,0,False
ci,clean_item_category_itec,42,IS_CPU,int,4,10,0,False
ci,clean_item_category_itec,43,IS_Cooling,int,4,10,0,False
ci,clean_item_category_itec,44,IS_Harddisk,int,4,10,0,False
ci,clean_item_category_itec,45,IS_Camera,int,4,10,0,False
ci,clean_item_category_itec,46,IS_Adapter,int,4,10,0,False
ci,clean_item_category_itec,47,IS_Charger,int,4,10,0,False
ci,clean_item_category_itec,48,IS_PowerBank,int,4,10,0,False
ci,clean_item_category_itec,49,IS_Case,int,4,10,0,False
ci,clean_item_category_itec,50,IS_Casing,int,4,10,0,False
ci,clean_item_category_itec,51,IS_Protect,int,4,10,0,False
ci,clean_item_category_itec,52,IS_Bumper,int,4,10,0,False
ci,clean_item_category_itec,53,IS_film,int,4,10,0,False
ci,clean_item_category_itec,54,IS_Monitor,int,4,10,0,False
ci,clean_item_category_itec,55,IS_Printer,int,4,10,0,False
ci,clean_item_category_itec,56,IS_Toner,int,4,10,0,False
ci,clean_item_category_itec,57,IS_Cartridge,int,4,10,0,False
ci,clean_item_category_itec,58,IS_Cable,int,4,10,0,False
ci,clean_item_category_itec,59,IS_USB,int,4,10,0,False
ci,clean_item_category_itec,60,IS_Speaker,int,4,10,0,False
ci,clean_item_category_itec,61,IS_Gadget,int,4,10,0,False
ci,clean_item_category_itec,62,IS_Accessory,int,4,10,0,False
ci,clean_item_category_itec,63,IS_Sim,int,4,10,0,False
ci,clean_item_category_itec,64,IS_Flashdrive,int,4,10,0,False
ci,clean_item_category_itec,65,IS_SD,int,4,10,0,False
ci,clean_item_category_itec,66,IS_Card,int,4,10,0,False
ci,clean_item_category_itec,67,IS_Microphone,int,4,10,0,False
ci,clean_item_category_itec,68,IS_Buletooth,int,4,10,0,False
ci,clean_item_category_itec,69,IS_Battery,int,4,10,0,False
ci,clean_item_category_itec,70,IS_Pin,int,4,10,0,False
ci,clean_item_category_itec,71,IS_Strap,int,4,10,0,False
ci,clean_item_category_itec,72,IS_Stand,int,4,10,0,False
ci,clean_item_category_itec,73,IS_Dock,int,4,10,0,False
ci,clean_item_category_itec,74,Sale_Type,varchar,14,0,0,False
ci,clean_item_category_itec,75,Product_Dimension,varchar,14,0,0,False
ci,clean_item_category_itec,76,Product_Purpose,varchar,8,0,0,False
ci,clean_item_category_itec,77,Main_Product_Dimension,varchar,25,0,0,False
ci,clean_item_category_itec,78,Sub_Product_Dimension,varchar,34,0,0,False
ci,creditcard_trn_bank,1,BANK_SETTLEMENT_DATE,date,3,10,0,True
ci,creditcard_trn_bank,2,BANK_TERMINAL_ID,varchar,30,0,0,True
ci,creditcard_trn_bank,3,BANK_MERCHANT_ID,varchar,30,0,0,True
ci,creditcard_trn_bank,4,BANK_APPROVAL_CODE,varchar,30,0,0,True
ci,creditcard_trn_bank,5,BANK_TRAN_DATE,date,3,10,0,True
ci,creditcard_trn_bank,6,BANK_TRAN_AMT,float,8,53,0,True
ci,creditcard_trn_bank,7,BANK_RAW_PAYMENT_TYPE,varchar,30,0,0,True
ci,creditcard_trn_bank,8,BANK_FIRST6,varchar,30,0,0,True
ci,creditcard_trn_bank,9,BANK_LAST4,varchar,30,0,0,True
ci,creditcard_trn_bank,10,BANK_STORE_ID,varchar,30,0,0,True
ci,creditcard_trn_bank,11,BANK_CC_NO,varchar,30,0,0,True
ci,creditcard_trn_bank,12,BANK_PAYMENT_TYPE,varchar,30,0,0,True
ci,creditcard_trn_bank,13,BANK_INSTALLMENT_TYPE,varchar,30,0,0,True
ci,creditcard_trn_bank,14,BANK_CREDIT_CARD_NO,varchar,64,0,0,True
ci,creditcard_trn_bank,15,BANK_CREDIT_CARD_NO2,varchar,95,0,0,True
ci,creditcard_trn_bank,16,BANK_BANK_NAME,varchar,30,0,0,True
ci,creditcard_trn_bank,17,BANK_UNIQUE_KEY,varchar,154,0,0,True
ci,creditcard_trn_bank,18,BANK_JOIN_KEY,varchar,123,0,0,True
ci,creditcard_trn_itec,1,ITEC_SALEID,int,4,10,0,True
ci,creditcard_trn_itec,2,ITEC_SALE_BRANCH,int,4,10,0,True
ci,creditcard_trn_itec,3,ITEC_RAW_PAYMENT_TYPE,varchar,30,0,0,True
ci,creditcard_trn_itec,4,ITEC_LAST4,varchar,30,0,0,True
ci,creditcard_trn_itec,5,ITEC_APPROVAL_CODE,varchar,30,0,0,True
ci,creditcard_trn_itec,6,ITEC_TRAN_AMT,float,8,53,0,True
ci,creditcard_trn_itec,7,ITEC_TERMINAL_ID,varchar,30,0,0,True
ci,creditcard_trn_itec,8,ITEC_TRN_DATE,date,3,10,0,True
ci,creditcard_trn_itec,9,ITEC_PAYMENT_TYPE,varchar,30,0,0,True
ci,creditcard_trn_itec,10,ITEC_INSTALLMENT_TYPE,varchar,30,0,0,True
ci,creditcard_trn_itec,11,ITEC_BANK_NAME,varchar,30,0,0,True
ci,creditcard_trn_itec,12,ITEC_DOCREF,varchar,30,0,0,True
ci,creditcard_trn_itec,13,ITEC_TAX_INVOICE_NO,varchar,30,0,0,True
ci,creditcard_trn_itec,14,ITEC_CUSTOMER_INVOICE_NAME,varchar,30,0,0,True
ci,creditcard_trn_itec,15,ITEC_SALE_OFFICER_ID,int,4,10,0,True
ci,creditcard_trn_itec,16,ITEC_SALE_OFFICER_NAME,varchar,30,0,0,True
ci,creditcard_trn_itec,17,ITEC_SALE_OFFICER_STATUS,varchar,30,0,0,True
ci,creditcard_trn_itec,18,ITEC_MEMBER_CODE,varchar,30,0,0,True
ci,creditcard_trn_itec,19,ITEC_CRM_ID,varchar,30,0,0,True
ci,creditcard_trn_itec,20,ITEC_CUSTOMER_NAME,varchar,30,0,0,True
ci,creditcard_trn_itec,21,ITEC_JOIN_KEY,varchar,123,0,0,True
