schema,view,rows,columns,count_seconds,create_date,modify_date,error
ci,clean_branch,3205,17,0.28,2026-06-29 16:24:32.550000,2026-06-29 16:24:32.550000,
ci,clean_brand_itec,2685,2,0.3,2026-06-26 17:36:38.710000,2026-06-26 17:36:38.710000,
ci,clean_category_ITEC,1966,4,2.15,2026-06-18 15:34:08.807000,2026-06-18 15:34:08.807000,
ci,clean_item_category_itec,216009,78,0.11,2026-06-29 11:24:20.153000,2026-06-29 11:24:20.153000,
ci,creditcard_trn_bank,2790117,18,29.49,2026-07-06 15:07:19.043000,2026-07-06 15:07:19.043000,
ci,creditcard_trn_itec,2916873,21,100.46,2026-07-02 15:09:05.313000,2026-07-02 15:09:05.313000,
ci,creditcard_trn_summary,2779657,13,31.12,2026-07-06 13:12:50.153000,2026-07-06 13:12:50.153000,
ci,integrated_sale_and_inventory,20156102,25,38.81,2026-06-29 17:06:36.730000,2026-06-29 17:06:36.730000,
ci,monthly_item_inventory_itec,18070548,5,6.45,2026-06-26 14:58:58.860000,2026-06-26 14:58:58.860000,
ci,monthly_item_sale_itec,7268065,8,16.07,2026-06-29 17:05:29.710000,2026-06-29 17:05:29.710000,
ci,thailand_map,77,4,0.11,2026-06-12 16:30:52.523000,2026-06-12 16:30:52.523000,
ci,trn_category_BANK,38,4,27.86,2026-07-02 16:20:28.520000,2026-07-02 16:20:28.520000,
ci,trn_category_ITEC,44,4,97.68,2026-07-01 17:52:56.010000,2026-07-01 17:52:56.010000,
rpt,dim_branch_itec,3205,13,0.01,2026-05-08 12:26:54.460000,2026-06-12 13:47:40.633000,
rpt,dim_item_itec,216009,6,0.1,2026-05-08 12:26:54.293000,2026-05-08 12:26:54.293000,
rpt,dim_mem_itec,22042404,5,0.31,2026-05-08 15:22:48.827000,2026-06-15 09:55:30.307000,
rpt,dim_officer_itec,35763,7,0.01,2026-06-15 14:15:49.057000,2026-06-15 14:15:49.057000,
rpt,dim_sales_header_itec,8987607,6,0.19,2026-06-15 10:49:27.217000,2026-06-15 11:58:17.953000,
rpt,fact_bank_itec,18294666,8,0.11,2026-05-08 15:23:13.780000,2026-07-01 16:47:24.280000,
rpt,fact_sales_itec,79828304,12,0.1,2026-05-08 12:26:54.287000,2026-05-08 12:26:54.287000,
rpt,fact_trans_fo,269264980,20,0.41,2026-05-15 11:05:03.373000,2026-05-15 11:05:03.373000,
rpt,onhandendmonth_itec,33200755,6,0.02,2026-06-08 17:25:01.957000,2026-06-08 17:25:01.957000,
rpt,raw_bank_trans,7060688,11,0.19,2026-05-11 10:18:41.880000,2026-05-11 10:18:41.880000,
