view,n_cols,modified
EGG_ADDRESS,61,2025-07-02
EGG_APPLICATION,25,2025-07-02
EGG_APPROVAL_HISTORY,9,2025-07-02
EGG_APPROVAL_HISTORY_STATUS_DESC,10,2025-07-02
EGG_ASSETS_INFORMATION_PFUND,26,2025-07-02
EGG_BANK_STATEMENT,14,2025-07-02
EGG_BANK_STATEMENT_SUMMARY,8,2025-07-25
EGG_BANK_STATEMENT_TRANSACTIONS,13,2025-06-06
EGG_BankStatement,9,2025-07-02
EGG_CONTRACT,28,2025-07-02
EGG_CUSTOMER_CARD,26,2025-07-02
EGG_LOTUS_ADDRESS,61,2025-07-02
EGG_LOTUS_APPLICATION,25,2025-06-27
EGG_LOTUS_APPROVAL_HISTORY,9,2025-07-02
EGG_LOTUS_BANK_STATEMENT,14,2025-07-02
EGG_LOTUS_BANK_STATEMENT_SUMMARY,5,2025-07-02
EGG_LOTUS_BANK_STATEMENT_TRANSACTIONS,13,2025-07-02
EGG_LOTUS_BankStatement,9,2025-07-02
EGG_LOTUS_CONTRACT,28,2025-07-02
EGG_LOTUS_PAYMENT_SLIP,21,2025-07-02
EGG_LOTUS_PDPA,15,2025-07-02
EGG_LOTUS_PERSON,146,2025-07-02
EGG_LOTUS_QUOTATION,105,2025-07-02
EGG_LOTUS_REPAYMENT,46,2025-07-02
EGG_LOTUS_Temp_History_OD,30,2025-07-02
EGG_MDM,7,2025-07-02
EGG_MONITOR_KRI_KPI,29,2025-07-22
EGG_MT_APPROVE_CUSTOMER_SUB_LEVEL,14,2025-05-20
EGG_MT_BRAND,6,2025-07-02
EGG_MT_CATEGORY,6,2025-07-02
EGG_MT_COLOR,5,2025-01-30
EGG_MT_DISEASE,3,2025-01-30
EGG_MT_DISTRICT,3,2025-07-02
EGG_MT_FACULTY,7,2025-01-30
EGG_MT_GENDER,2,2025-07-02
EGG_MT_IDCARD_TYPE,2,2025-07-02
EGG_MT_LEVEL_TYPE,2,2025-10-31
EGG_MT_MARITAL_STATUS,2,2025-07-02
EGG_MT_Narcotic,3,2025-07-02
EGG_MT_NATIONALITY,2,2025-07-02
EGG_MT_OCCUPATION,7,2025-07-02
EGG_MT_PAY_TYPE,2,2025-07-02
EGG_MT_PREFIX,2,2025-07-02
EGG_MT_PROVINCE,3,2025-07-02
EGG_MT_REPAY_TYPE,2,2025-07-02
EGG_MT_RESIDENCE_STATUS,2,2025-07-02
EGG_MT_SERIES,6,2025-01-30
EGG_MT_SOURCE_INCOME_PERSON,3,2025-07-02
EGG_MT_STATUS,2,2025-07-02
EGG_MT_SUB_DISTRICT,3,2025-07-02
EGG_MT_SUB_SERIES,7,2025-01-30
EGG_MT_UNIVERSITY_NAME,8,2025-01-30
EGG_NCAP_INFORMATION,41,2025-07-02
EGG_NCAP_PAYMENT,6,2025-01-30
EGG_NCAP_STATUS,5,2025-01-30
EGG_OUTSOURCE_CREDIT_SCORING,31,2025-09-24
EGG_PAYMENT_SLIP,21,2025-07-02
EGG_PDPA,15,2025-07-02
EGG_PERSON,146,2025-07-02
EGG_PRODUCT,91,2025-01-31
EGG_QUOTATION,105,2025-07-02
EGG_REPAYMENT,46,2025-07-02
EGG_SETUP_COMPANY_BRANCH,15,2025-05-21
EGG_Temp_History_OD,30,2025-07-02
EGG_Weekly_Loan_Application,8,2025-07-08
MIS_DataSupport,21,2025-05-22
MIS_List_SpecificDataTest_View,10,2024-11-21
PRODUCT_VIEW,10,2023-05-31
randomView,1,2025-10-17
TEST,7,2021-02-16
View_ADDRESS,83,2021-02-08
View_ADDRESS_APP,83,2021-05-31
View_AGING_CAL_OVD,12,2023-08-30
VIEW_APPLICATION,25,2025-11-06
View_ApplicationDelivery,46,2022-07-26
View_ApplicationIn,45,2022-07-31
View_ASSETS_INFORMATION_ByAPI,28,2025-02-27
View_ASSETS_INFORMATION_STUDENT,26,2024-08-09
VIEW_ASSETS_PRICE_WEB,3,2025-05-27
View_CON_DETAIL_FINANCE,11,2024-11-15
View_Consent_NCB,11,2025-03-24
View_Contract_Detail,49,2022-07-31
VIEW_CONTRACT_OD,9,2026-07-31
View_ContractWaitRepayment,8,2021-03-17
View_CountCustomerCard,2,2021-01-30
View_date_part_Aging,5,2023-07-25
View_date_part_duedate,5,2023-08-30
View_date_part_First_OD,3,2023-08-30
View_date_part_Install,3,2023-07-25
View_date_part_Install_interest,3,2023-07-25
View_DownReceipt_NoProduct,27,2022-02-10
View_Field_Collection,49,2026-06-18
View_Get_ProcInst,2,2025-05-30
View_GetPersonDetails,11,2021-09-08
View_Group_Brand,9,2025-02-17
View_MT_ASSETS_INFORMATION_ACS,6,2024-12-15
View_outstanding_accounts_receivable_cal,16,2023-08-30
View_outstanding_CUSTOMER,18,2023-07-25
View_outstanding_CUSTOMER_CARD,9,2023-07-25
View_outstanding_CUSTOMER_OVERDUE,2,2023-07-25
View_outstanding_CUSTOMER_repay_receit,17,2023-07-25
View_outstanding_CUSTOMER_Second,5,2023-08-30
View_outstanding_CUSTOMER_SUM_VAT,2,2023-07-25
View_outstanding_CUSTOMER_SUM_YEAR,6,2023-07-25
View_outstanding_Install_Total,3,2023-07-25
View_OutstandingInstall,3,2021-07-24
View_OutstandingUnearn,6,2021-01-30
View_PERSON,169,2025-11-06
View_PhyID_Contract_Compare,14,2020-10-16
View_PRODUCT,92,2024-08-09
View_PRODUCT_LIST,5,2023-09-19
View_ProductNotPic,61,2022-03-08
View_QuatationToContract,49,2024-02-21
View_QuotaionIn,36,2022-07-31
View_QuotationAppContractMerge,61,2021-04-27
View_Repay_PHY,4,2025-04-03
View_Report_DownReceipt,18,2021-06-23
View_reserve_accounts_receivable_Install_Total,3,2023-07-25
View_reserve_accounts_receivable_Second,3,2023-08-30
View_reserve_accounts_receivable_SUM_YEAR,6,2023-07-25
View_Wait_Close_Contract,10,2023-08-10
View_WebFulfill_CM_Existing,42,2025-04-17
vITEC_Branch_VIEW,9,2025-06-16
VW_ACCOUNT_AUDIT,15,2022-04-25
VW_ACCOUNT_OVD,16,2022-04-07
VW_Balance_vat_advance,9,2023-08-30
VW_C_END_DUEDATE,2,2022-04-07
VW_C_INSTALL_NO,4,2022-05-19
VW_C_INSTALL_NO02,4,2022-05-19
VW_C_INSTALL_NO03,4,2022-05-19
VW_C_INSTALL_NOTPAY_OS,3,2022-04-07
VW_C_INSTALL_OVERDUE,4,2022-04-07
VW_C_UNEARN,2,2022-05-19
VW_C_UNEARN_IN_MONTH,2,2022-05-19
VW_CLOSE_CONTRACT,28,2021-05-06
VW_CREDIT_NOTE_REPORT,13,2026-07-13
VW_FIELD_COLLECTION,45,2021-08-16
VW_GEN_RECEIPT,40,2021-02-08
VW_GEN_TAXINVOICE,48,2021-09-20
VW_GUARANTOR_ADDR_READ,91,2021-10-10
VW_GUARANTOR_READ,41,2021-10-10
VW_HPAP_QUOTE,13,2021-06-27
VW_LIST_QUOTATION _PROSPECT_CUSTOMER,71,2023-09-19
vw_ListConvertContract,5,2024-06-06
VW_PDF_FORM,11,2021-02-08
VW_PDF_FORM_REGEN,12,2022-02-20
VW_PRINT_FORM,10,2021-05-27
VW_REGEN_REPAYMENT,47,2022-02-20
VW_REPAYMENT,49,2026-05-13
VW_Report_Aging,28,2023-07-25
VW_Report_Balance_defered_interest,17,2023-07-25
VW_report_Deferred_hire_purchase_income,16,2023-07-25
VW_report_Deferred_hire_purchase_income_mouth,2,2023-07-25
VW_report_Deferred_hire_purchase_income_repay_receit,16,2023-07-25
VW_Report_outstanding_accounts_receivable,17,2023-07-25
VW_RESERVER_REPAY,8,2022-01-16
VW_RESERVER_REPAY2,2,2022-01-16
VW_RPT_REPAY_DUEDATE,47,2022-03-07
VW_RPT_REPAY_MONTH,48,2022-03-07
vw_test,9,2021-05-15
VW_TTP_APPL_PAYMENT,39,2022-01-15
VW_TTP_BILLPAY_IMP,18,2022-01-15
VW_TTP_BILLPAY_RESULT_IMP,9,2022-01-15
VW_TTP_COMPANY,5,2020-09-05
VW_TTP_PAYMENT_RECEIPT,14,2022-01-15
