table,index,type,is_pk,is_unique,columns
ACCOUNT,PK_ACCOUNT,CLUSTERED,True,True,ACCOUNT_ID
ACCOUNT,INNO_ACCOUNT_DESCIPTION,NONCLUSTERED,False,False,ACCOUNT_DESCIPTION
ACCOUNT,INNO_APP_ID_INDEX,NONCLUSTERED,False,False,APP_ID
ACCOUNT,INNO_CONTRACT_ID_INDEX,NONCLUSTERED,False,False,CONTRACT_ID
ACCOUNT,INNO_REPAY_ID,NONCLUSTERED,False,False,REPAY_ID
ACCOUNT_CHECK_GL,PK_ACCOUNT_CHECK_GL,CLUSTERED,True,True,SEQ_ID
ACCOUNT_GENERAL,PK_ACCOUNT_GENERAL,CLUSTERED,True,True,GENERAL_ID
ACCOUNT_LOG,PK__ACCOUNT___3214EC2713EEE757,CLUSTERED,True,True,ID
ACCOUNT_LOG_BK20230809,PK__ACCOUNT___3214EC27E78BEF9B,CLUSTERED,True,True,ID
ACCOUNT_PAYABLE,PK_ACCCOUNT_PAYABLE,CLUSTERED,True,True,PAYABLE_ID
ACCOUNT_RECEIVABLE,PK_ACCOUNT_RECEIVABLE,CLUSTERED,True,True,RECEIVABLE_ID
ACCOUNT_RECEIVABLE_TEST_DayEnd,PK_ACCOUNT_RECEIVABLE_TEST_DayEnd,CLUSTERED,True,True,RECEIVABLE_ID
ACCOUNT_TEST_DayEnd,PK_ACCOUNT_TEST_DayEnd,CLUSTERED,True,True,ACCOUNT_ID
ADDRESS,PK_Address,CLUSTERED,True,True,ADDRESS_ID
ADDRESS,INNO_A_DISTRICT_WORK,NONCLUSTERED,False,False,A_DISTRICT_WORK
ADDRESS,INNO_A_PROVINCE_WORK,NONCLUSTERED,False,False,A_PROVINCE_WORK
ADDRESS,INNO_A_SUBDISTRICT_WORK,NONCLUSTERED,False,False,A_SUBDISTRICT_WORK
ADDRESS,INNO_A2_DISTRICT,NONCLUSTERED,False,False,A2_DISTRICT
ADDRESS,INNO_A2_PROVINCE,NONCLUSTERED,False,False,A2_PROVINCE
ADDRESS,INNO_A2_SUBDISTRICT,NONCLUSTERED,False,False,A2_SUBDISTRICT
ADDRESS,INNO_PERSON_ID,NONCLUSTERED,False,False,PERSON_ID
ADDRESS,INNO_QUOTATION_ID,NONCLUSTERED,False,False,QUOTATION_ID
ADDRESS_Dept,PK_Address_Dept,CLUSTERED,True,True,ADDRESS_ID
ADDRESS_GUARANTOR,PK_ADDRESS_GUARANTOR,CLUSTERED,True,True,ADD_GUAR_ID
ADDRESS_GUARANTOR,INNO_APP_ID_INDEX,NONCLUSTERED,False,False,APP_ID
ADDRESS_GUARANTOR,INNO_GUAR_ID_INDEX,NONCLUSTERED,False,False,GUAR_ID
ADDRESS_NONBUSINESS,PK_ADDRESS_NONBUSINESS,CLUSTERED,True,True,ADDRESS_NON_ID
ADDRESS_PROSPECT_CUSTOMER,PK_ADDRESS_POSPECT_CUSTOMER,CLUSTERED,True,True,ADD_CUST_ID
ADDRESS_PROSPECT_CUSTOMER,INNO_PST_CUST_ID,NONCLUSTERED,False,False,PST_CUST_ID
ADDRESS_PROSPECT_CUSTOMER,INNO_QUOTATION_ID,NONCLUSTERED,False,False,QUOTATION_ID
ADDRESS_PROSPECT_GUARANTOR,PK_ADDRESS_PROSPECT_GUARANTOR,CLUSTERED,True,True,ADD_PST_GUAR_ID
ADDRESS_PROSPECT_GUARANTOR,INNO_PST_GUAR_ID,NONCLUSTERED,False,False,PST_GUAR_ID
ADDRESS_PROSPECT_GUARANTOR,INNO_QUOTATION_ID,NONCLUSTERED,False,False,QUOTATION_ID
API_Auth_User,PK_API_Auth_User,CLUSTERED,True,True,USERNAME
API_KEY,API_KEY_PK,CLUSTERED,True,True,ID
APPLICATION,PK_HPAPP,CLUSTERED,True,True,APP_ID
APPLICATION,INNO_APP_DATE,NONCLUSTERED,False,False,APP_DATE
APPLICATION,INNO_APPLICATION_NUMBER,NONCLUSTERED,False,False,APPLICATION_NUMBER
APPLICATION,INNO_APPROVE_ID,NONCLUSTERED,False,False,APPROVE_ID
APPLICATION,INNO_CHECKER_ID,NONCLUSTERED,False,False,CHECKER_ID
APPLICATION,INNO_CHECKER_RESULT,NONCLUSTERED,False,False,CHECKER_RESULT
APPLICATION,INNO_CIF_PERSON_ID,NONCLUSTERED,False,False,CIF_PERSON_ID
APPLICATION,INNO_CREATE_DATE,NONCLUSTERED,False,False,CREATE_DATE
APPLICATION,INNO_CUSTOMER_NAME,NONCLUSTERED,False,False,CUSTOMER_NAME
APPLICATION,INNO_JURISTIC_ID,NONCLUSTERED,False,False,JURISTIC_ID
