table,row_count,n_cols,created,modified,is_junk
CreditScrolling_Logs_Contract,239757512,15,2021-07-08,2025-07-02,
ACCOUNT,25977684,16,2020-08-05,2026-08-03,
COLLECTION_OD,15653423,33,2026-04-08,2026-04-08,
TTP_VOUCHER_DETAIL,14487412,22,2021-01-26,2025-08-06,
ACCOUNT_CHECK_GL,14120139,19,2023-07-20,2023-07-20,
TTP_VOUCHER_DETAIL_TEMP,13380693,22,2026-07-03,2026-07-03,junk
TTP_OS_HPCUST_RPT,9884306,27,2020-09-26,2025-05-12,
TRANSACTION_REPAY,9726881,7,2020-08-05,2022-03-17,
LOG_SCB_BILLPAYMENT,8046250,17,2022-11-28,2026-08-17,
LOG_SCB_BILLPAYMENT_AUTO,7091509,8,2023-02-06,2025-05-12,
REPAYMENT_BACKUP,6276131,47,2022-02-24,2022-03-17,junk
CUSTOMER_CARD,5816576,26,2020-08-05,2025-07-02,
ACCOUNT_RECEIVABLE,5711811,11,2020-08-05,2025-05-13,
TAX_INVOICE,5242725,11,2020-08-13,2022-03-17,
REPAYMENT,5205084,47,2021-08-26,2026-04-27,
Temp_History_OD,5067003,30,2021-08-01,2025-07-02,
TTP_VAT_RPT,4809559,18,2020-08-12,2022-03-17,
TTP_APPL_TRANS,4576472,40,2020-09-05,2024-11-01,
TTP_INV_BARCODE,4477750,13,2020-08-25,2025-07-02,
BANK_IMPRORT,4411373,17,2022-03-17,2025-07-02,
INVOICE,4396632,24,2020-08-13,2025-07-02,
ACCOUNT_BACKUP,4329473,17,2022-05-11,2022-05-11,junk
Report_Balance_defered_interest,4219562,17,2023-07-25,2025-05-20,
Report_outstanding_accounts_receivable,4213196,17,2023-07-25,2025-05-12,
Report_Aging,4014076,31,2023-08-30,2025-07-02,
CONTACT_DEBT_COLLECTION,3458610,14,2023-07-27,2025-07-02,
APPLICATION_SCORING_DETAIL,3108484,8,2022-04-04,2025-05-12,
ACCOUNT_GENERAL,2896271,10,2020-08-05,2022-03-17,
PDF_FORM,2553579,14,2020-08-05,2025-07-02,
LOGGED_EMAIL_LISTS,2418448,15,2023-03-07,2024-02-23,
HCTI,2214389,22,2025-01-02,2025-05-12,
APPROVAL_HISTORY,2112027,9,2020-08-05,2026-05-08,
UFUNDInterface,2029531,12,2025-09-24,2025-09-26,
NCAP_PAYMENT,2028719,6,2025-01-07,2025-02-05,
INSTALLMENT_PLAN,1850935,15,2024-12-20,2024-12-20,
CUSTOMER_CARD_BACKUP,1818528,25,2022-03-07,2022-03-16,junk
LOGS_SEND_INET,1193966,13,2025-09-16,2026-02-03,
